,ADM2_ID,district
0,DC44,Alfred Nzo
1,DC25,Amajuba
2,DC12,Amathole
3,DC37,Bojanala
4,BUF,Buffalo City
5,DC10,Cacadu
6,DC2,Cape Winelands
7,DC35,Capricorn
8,DC5,Central Karoo
9,DC13,Chris Hani
10,CPT,City Of Cape Town
11,JHB,City Of Johannesburg
12,TSH,City Of Tshwane
13,DC40,Dr Kenneth Kaunda
14,DC39,Dr Ruth Segomotsi Mompati
15,DC4,Eden
16,DC32,Ehlanzeni
17,EKU,Ekurhuleni
18,ETH,Ethekwini
19,DC20,Fezile Dabi
20,DC9,Frances Baard
21,DC30,Gert Sibande
22,DC29,Ilembe
23,DC14,Joe Gqabi
24,DC45,John Taolo Gaetsewe
25,DC18,Lejweleputswa
26,MAN,Mangaung
27,DC33,Mopani
28,DC6,Namakwa
29,NMA,Nelson Mandela Bay
30,DC38,Ngaka Modiri Molema
31,DC31,Nkangala
32,DC15,O.R.Tambo
33,DC3,Overberg
34,DC7,Pixley Ka Seme
35,DC42,Sedibeng
36,DC47,Sekhukhune
37,DC43,Sisonke
38,DC19,Thabo Mofutsanyane
39,DC21,Ugu
40,DC22,Umgungundlovu
41,DC27,Umkhanyakude
42,DC24,Umzinyathi
43,DC23,Uthukela
44,DC28,Uthungulu
45,DC34,Vhembe
46,DC36,Waterberg
47,DC1,West Coast
48,DC48,West Rand
49,DC16,Xhariep
50,DC8,Z F Mgcawu
51,DC26,Zululand
