district,main_district
Mount Ayliff Cc,Alfred Nzo
Amajuba Cc,Amajuba
Butterworth Cc,Amathole
Alice Cc,Amathole
Rustenburg Cc,Bojanala
Brits Cc,Bojanala
East London Cc,Buffalo City
Mdantsane Cc,Buffalo City
Graaff-Reinet Cc,Cacadu
Grahamstown Cc,Cacadu
Humansdorp Cc,Cacadu
Port Alfred Cc,Cacadu
Worcester Cc,Cape Winelands
Winelands Cc,Cape Winelands
Lebowakgomo Cc,Capricorn
Seshego Cc,Capricorn
Beaufort West Cc,Central Karoo
Cradock Cc,Chris Hani
Queenstown Cc,Chris Hani
Cofimvaba Cc,Chris Hani
Elliot Cc,Chris Hani
Park Road Cc,City of Cape Town
Cape Town Cc,City of Cape Town
Mitchells Plain Cc,City of Cape Town
Blue Downs Cc,City of Cape Town
Tygerberg Cc,City of Cape Town
Nyanga Cc,City of Cape Town
Milnerton Cc,City of Cape Town
Khayelitsha Cc,City of Cape Town
Wynberg Cc,City of Cape Town
East Metropol,City of Cape Town
Joburg West Cc,City of Johannesburg
Joburg Central Cc,City of Johannesburg
Joburg North Cc,City of Johannesburg
Joburg East Cc,City of Johannesburg
Soweto East Cc,City of Johannesburg
Soweto West Cc,City of Johannesburg
Tshwane Central Cc,City of Tshwane
Tshwane North Cc,City of Tshwane
Tshwane East Cc,City of Tshwane
Tshwane West Cc,City of Tshwane
Klerksdorp Cc,Dr Kenneth Kaunda
Pudimoe Cc,Dr Ruth Segomotsi Mompati
Vryburg Cc,Dr Ruth Segomotsi Mompati
Eden Cc,Eden
Umgungundlovo N Cc,Ehlanzeni
Acornhoek Cc,Ehlanzeni
Tonga Cc,Ehlanzeni
Ekurhuleni North Cc,Ekurhuleni
Ekurhuleni Centr Cc,Ekurhuleni
Ekurhuleni East Cc,Ekurhuleni
Ekurhuleni West Cc,Ekurhuleni
Gauteng: Ports Of Entry: Air,Ekurhuleni
Ethekwini Central Cc,Ekurhuleni
Ethekwini Outer/N Cc,Ekurhuleni
Ethekwini Inn&Out Cc,Ekurhuleni
Ethekwini Inner/N Cc,Ekurhuleni
Ethekwini Inner/S Cc,Ekurhuleni
Ethekwini Outer/S Cc,Ekurhuleni
Kwazulu-Natal: Ports Of Entry:,eThekwini
Zamdela Cc,Fezile Dabi
Phuthaditjhaba Cc,Fezile Dabi
Kroonstad Cc,Fezile Dabi
Frances Baard Cc,Frances Baard
Ermelo Cc,Gert Sibande
Secunda Cc,Gert Sibande
Standerton Cc,Gert Sibande
Piet Retief Cc,Gert Sibande
Aliwal North Cc,Joe Gqabi
Mount Fletcher Cc,Joe Gqabi
Sedibeng Cc,Sedibeng
Jt Gaetsewe Cc,John Taolo Gaetsewe
Welkom Cc,Lejweleputswa
Thabong Cc,Lejweleputswa
Mangaung Cc,Mangaung
Selosesha Cc,Mangaung
Tzaneen Cc,Mopani
Giyani Cc,Mopani
Namakwa Cc,Namakwa
Mount Road Cc,Nelson Mandela Bay
Motherwell Cc,Nelson Mandela Bay
Uitenhage Cc,Nelson Mandela Bay
Da Gamaskop Cc,Nelson Mandela Bay
Mahikeng Cc,Ngaka Modiri Molema
Zeerust Cc,Ngaka Modiri Molema
Witbank Cc,Nkangala
Middelburg Cc,Nkangala
Kwamhlanga Cc,Nkangala
Mthatha Cc,O.R.Tambo
King William'S T Cc,O.R.Tambo
Port St Johns Cc,O.R.Tambo
Mqanduli Cc,O.R.Tambo
Port St John Cc,O.R.Tambo
Overberg Cc,Overberg
Pixley Ka Seme Cc,Pixley ka Seme
Groblersdal Cc,Sekhukhune
Burgersfort Cc,Sekhukhune
Harry Gwala Cc,Sisonke
Bethlehem Cc,Thabo Mofutsanyane
Ficksburg Cc,Thabo Mofutsanyane
Pienaar Cc,Thabo Mofutsanyane
Ugu Cc,Ugu
Umgungundlovo S Cc,Umgungundlovu
Umkhanyakude Cc,Umkhanyakude
Umzinyathi Cc,Umzinyathi
Uthukela Cc,Uthukela
Thohoyandou Cc,Vhembe
Mankweng Cc,Vhembe
Makhado Cc,Vhembe
Mahwelereng Cc,Waterberg
Bela Bela Cc,Waterberg
Lephalale Cc,Waterberg
Modimolle Cc,Waterberg
Vredenburg Cc,West Coast
Vredendal Cc,West Coast
West Rand Cc,West Rand
Smithfield Cc,Xhariep
Trompsburg Cc,Xhariep
Zf Mgcawu Cc,Z F Mgcawu
King Cetshwayo Cc,Uthungulu
Ilembe Cc,iLembe
Zululand Cc,Zululand
