,0
0,Alfred Nzo
1,Amajuba
2,Amathole
3,Bojanala
4,Buffalo City
5,Cacadu
6,Cape Winelands
7,Capricorn
8,Central Karoo
9,Chris Hani
10,City of Cape Town
11,City of Johannesburg
12,City of Tshwane
13,Dr Kenneth Kaunda
14,Dr Ruth Segomotsi Mompati
15,Eden
16,Ehlanzeni
17,Ekurhuleni
18,eThekwini
19,Fezile Dabi
20,Frances Baard
21,Gert Sibande
22,iLembe
23,Joe Gqabi
24,John Taolo Gaetsewe
25,Lejweleputswa
26,Mangaung
27,Mopani
28,Namakwa
29,Nelson Mandela Bay
30,Ngaka Modiri Molema
31,Nkangala
32,O.R.Tambo
33,Overberg
34,Pixley ka Seme
35,Sedibeng
36,Sekhukhune
37,Sisonke
38,Thabo Mofutsanyane
39,Ugu
40,Umgungundlovu
41,Umkhanyakude
42,Umzinyathi
43,Uthukela
44,Uthungulu
45,Vhembe
46,Waterberg
47,West Coast
48,West Rand
49,Xhariep
50,Z F Mgcawu
51,Zululand
